depth_new  [cm],age_new [a BP],depth_old [cm],age_old [a BP],age_new [a BP],sed-rate_new [m/ka],age_old [a BP],sed-rate_old [m/ka]
8,2700,8,2700,2700,0.0,2700,0.0
31,7995,31,7995,7995,0.0,7995,0.0
88,12394,88,12394,7995,0.1,7995,0.1
158,14240,158,14240,12394,0.1,12394,0.1
243,14683,436,18257,12394,0.4,12394,0.4
436,15795,596,22197,14240,0.4,14240,0.4
596,22567,652,28488,14240,1.9,14240,0.7
652,24928,,,14683,1.9,18257,0.7
,,,,14683,1.7,18257,0.4
,,,,15795,1.7,22197,0.4
,,,,15795,0.2,22197,0.1
,,,,22567,0.2,28488,0.1
,,,,22567,0.2,,
,,,,24928,0.2,,